city,month,ave_max_temp,expected temp
Adelaide,Sep,18.56,18.3
Adelaide,Oct,23.25483871,21.2
Adelaide,Nov,22.58,24
Adelaide,Dec,30.6,25.9
Adelaide,Jan,27.33225806,28.2
Adelaide,Feb,25.68275862,28.1
Brisbane,sep,25.21666667,21.8
Brisbane,oct,24.69354839,26.1
Brisbane,nov,28.14,27.8
Brisbane,dec,29.29032258,29.1
Brisbane,jan,29.53870968,29.4
Brisbane,feb,28.8862069,29
Canberra,sep,18.59333333,16.2
Canberra,oct,23.54516129,19.6
Canberra,nov,26.75,23.5
Canberra,dec,31.68709677,26.3
Canberra,jan,31.9516129,28.5
Canberra,feb,27.75517241,28.1
Darwin,Sep,32.71666667,32.7
Darwin,Oct,34.31290323,33.4
Darwin,Nov,34.49,33.4
Darwin,Dec,35.26129032,32.8
Darwin,Jan,32.83548387,31.9
Darwin,Feb,33.37241379,31.5
Hobart,Sep,16.54666667,15.5
Hobart,Oct,19.01935484,17.4
Hobart,Nov,20.12666667,19.1
Hobart,Dec,21.70645161,20.8
Hobart,Jan,24.86774194,22.7
Hobart,Feb,20.98275862,22.4
Melbourne,Sep,17.47333333,17.3
Melbourne,Oct,21.57096774,19.7
Melbourne,Nov,22.38666667,22
Melbourne,Dec,26.41612903,24.2
Melbourne,Jan,27.81290323,25.9
Melbourne,Feb,24.92413793,25.9
Perth,Sep,23.10333333,20.6
Perth,Oct,24.70967742,23.5
Perth,Nov,29.84333333,26.8
Perth,Dec,33.93225806,29.6
Perth,Jan,31.60967742,31.4
Perth,Feb,32.98965517,31.7
Sydnyy,Sep,22.20666667,20.1
Sydney,Oct,25.17419355,22.2
Sydney,Nov,27.24666667,23.7
Sydney,Dec,28.50322581,25.3
Sydney,Jan,28.97741935,26
Sydney,Feb,27.46551724,25.8


